shaft,d,E,L,Phi,lam,n_elem,integration_method,rw_numeric,rw_theory,abs_err,rel_err
shaft_B_alu_d55,55.0,71000.0,4657.893534360511,0.0003130131687328754,97.89924055717326,1,exact,0.0003129397087939537,0.0003129397087939536,1.0842021724855044e-19,3.4645720629828e-16
shaft_B_alu_d55,55.0,71000.0,4657.893534360511,0.0003130131687328754,97.89924055717326,2,single_point,0.9375782532905268,0.9375782532921833,1.6564527527407336e-12,1.7667354665323312e-12
shaft_B_alu_d55,55.0,71000.0,4657.893534360511,0.0003130131687328754,97.89924055717326,2,exact,0.0012505848540635429,0.0012505848540635427,2.168404344971009e-19,1.7339122074965027e-16
shaft_B_alu_d55,55.0,71000.0,3501.8610145060466,0.000553788475373158,73.601839829081,1,single_point,0.7501384471188994,0.7501384471188433,5.617728504603292e-14,7.488922246526693e-14
shaft_B_alu_d55,55.0,71000.0,3501.8610145060466,0.000553788475373158,73.601839829081,1,exact,0.0005535585914236479,0.0005535585914236477,2.168404344971009e-19,3.9172083652324577e-16
shaft_B_alu_d55,55.0,71000.0,3501.8610145060466,0.000553788475373158,73.601839829081,2,single_point,0.9376384471189491,0.9376384471188433,1.0580425424677742e-13,1.1284120715387751e-13
shaft_B_alu_d55,55.0,71000.0,3501.8610145060466,0.000553788475373158,73.601839829081,2,exact,0.002210563844044467,0.002210563844044454,1.3010426069826053e-17,5.88556901664606e-15
shaft_B_alu_d55,55.0,71000.0,2632.741704904797,0.000979772438001955,55.33475842503626,1,single_point,0.7502449431093186,0.7502449431095005,1.8196555373606316e-13,2.42541526480512e-13
shaft_B_alu_d55,55.0,71000.0,2632.741704904797,0.000979772438001955,55.33475842503626,1,exact,0.000979053177191172,0.000979053177191172,0.0,0.0
shaft_B_alu_d55,55.0,71000.0,2632.741704904797,0.000979772438001955,55.33475842503626,2,single_point,0.937744943108892,0.9377449431095005,6.085132397970483e-13,6.489112463558144e-13
shaft_B_alu_d55,55.0,71000.0,2632.741704904797,0.000979772438001955,55.33475842503626,2,exact,0.0039047466534443943,0.0039047466534443877,6.5052130349130266e-18,1.6659756988778671e-15
shaft_B_alu_d55,55.0,71000.0,1979.3272365844336,0.0017334308548430013,41.60134443741598,1,single_point,0.750433357713465,0.7504333577137108,2.4580337765200966e-13,3.2754857593335194e-13
shaft_B_alu_d55,55.0,71000.0,1979.3272365844336,0.0017334308548430013,41.60134443741598,1,exact,0.001731181167623849,0.0017311811676238497,6.505213034913027e-19,3.7576731751546387e-16
shaft_B_alu_d55,55.0,71000.0,1979.3272365844336,0.0017334308548430013,41.60134443741598,2,single_point,0.9379333577134323,0.9379333577137108,2.7844393457598926e-13,2.9686963608450724e-13
shaft_B_alu_d55,55.0,71000.0,1979.3272365844336,0.0017334308548430013,41.60134443741598,2,exact,0.006888962044437837,0.006888962044437843,6.071532165918825e-18,8.81342084156348e-16
